time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/value_loss,train/approx_kl,train/n_updates,eval/mean_reward,eval/mean_ep_length
36331,749,159,0.8630933699999999,5.0,5804750,-31.31093086242676,1e-06,-0.0017827710673434893,0.023355696350336075,0.9788689892739058,0.041994047622429205,0.05447918176651001,0.1,0.001618194130132906,0.0016345731,14960,,
36397,750,159,0.86299494,5.0,5812500,-31.311262712478637,1e-06,-0.0011328267641778388,0.02620825171470642,0.9791011270135641,0.03486785730317934,0.05447870492935181,0.1,0.0016575788735644892,0.001398389,14980,0.8705606030763593,5.0
36442,751,159,0.8633176600000003,5.0,5820250,-31.311408553123474,1e-06,-0.0016229297519540985,0.02650044858455658,0.9782060943543911,0.04474166674161097,0.05447840690612793,0.1,0.0016990621254080907,0.0017310793,15000,,
36488,752,159,0.8645721900000001,5.0,5828000,-31.311360063552858,1e-06,-0.0014456995520987005,0.027798237279057503,0.9774528350681067,0.029172619013697842,0.05447907745838165,0.1,0.0017947743413969874,0.0014532312,15020,,
36533,753,159,0.86685949,5.0,5835750,-31.311612439155578,1e-06,-0.0009584124920892756,0.02791900932788849,0.9781387131661177,0.027705952382821124,0.054476745426654816,0.1,0.0017174990350031295,0.0014030584,15040,,
36578,754,159,0.8642814699999998,5.0,5843500,-31.3123987865448,1e-06,-0.001216655352739877,0.030382491648197174,0.9779372848570347,0.01581904762366321,0.05447526276111603,0.1,0.0017037114489357919,0.0010781703,15060,,
36624,755,159,0.8665077600000001,5.0,5851250,-31.312969746589662,1e-06,-0.0013224696685791581,0.02468242682516575,0.9787262734025717,0.04223214291356271,0.054473668336868286,0.1,0.001797875576885417,0.0017852983,15080,,
36670,756,159,0.86178861,5.0,5859000,-31.31350119590759,1e-06,-0.0015334276906839662,0.026907362043857574,0.9786001481115818,0.03713095242186682,0.05447262525558472,0.1,0.0016378969058860092,0.0016550953,15100,,
36716,757,159,0.86385508,5.0,5866750,-31.314001111984254,1e-06,-0.0019559509971720447,0.02527092956006527,0.9784924034029245,0.046813095345860346,0.05447101593017578,0.1,0.001623044084990397,0.0016618453,15120,,
36762,758,159,0.8657349200000002,5.0,5874500,-31.314636311531068,1e-06,-0.0018146577931900775,0.02839120663702488,0.9783005323261023,0.036086904900148514,0.054469335824251175,0.1,0.0017900917265797035,0.0016255265,15140,,
36809,759,159,0.8633481000000001,5.0,5882250,-31.314891657829286,1e-06,-0.0020034857967202347,0.025377370417118073,0.9779801573604345,0.0688285720080603,0.05446985736489296,0.1,0.0015954465440881904,0.0019004503,15160,,
36875,760,159,0.86607608,5.0,5890000,-31.31483976364136,1e-06,-0.0007494201828807229,0.026386458426713943,0.9787107743322849,0.05346785719681066,0.05446944013237953,0.1,0.0016821591927146074,0.0016762655,15180,0.8707698682238998,5.0
36921,761,159,0.86514139,5.0,5897750,-31.31509871006012,1e-06,-0.0008123653579781732,0.025675302371382713,0.9774462021887302,0.03276309525012039,0.054468486458063126,0.1,0.0015805426600854844,0.0015710772,15200,,
36967,762,159,0.8636754799999999,5.0,5905500,-31.315480647087096,1e-06,-0.0007875988628535602,0.02225618064403534,0.979636661708355,0.04602857165358728,0.05446741357445717,0.1,0.0015340888673381415,0.0017108615,15220,,
37013,763,159,0.86391729,5.0,5913250,-31.315869212150574,1e-06,-0.0008660588522745049,0.027611257508397102,0.9787598084658384,0.03624047625955427,0.05446651950478554,0.1,0.0015399164980044587,0.0014024884,15240,,
37059,764,159,0.8616118699999998,5.0,5921000,-31.31622197151184,1e-06,-0.0016429628677481233,0.03012576699256897,0.9788782522082329,0.03629642869665986,0.05446565896272659,0.1,0.001550728979491396,0.0017053733,15260,,
37105,765,159,0.8628190499999999,5.0,5928750,-31.316545424461363,1e-06,-0.0017200683452943011,0.03163278475403786,0.9791300557553768,0.03358214288135059,0.054464828222990036,0.1,0.0016531428205780684,0.0014053946,15280,,
37151,766,159,0.86460946,5.0,5936500,-31.316793856620787,1e-06,-0.000700404043633247,0.027910297736525536,0.9790175817906857,0.03424523799476446,0.05446439981460571,0.1,0.0016760396989411674,0.001400895,15300,,
37197,767,159,0.8651211600000001,5.0,5944250,-31.31703142642975,1e-06,-0.0012428881447736906,0.023259811103343964,0.9783093146979809,0.028765476250846404,0.054463569074869156,0.1,0.001575451462995261,0.0013030451,15320,,
37243,768,159,0.8656888899999998,5.0,5952000,-31.31735776424408,1e-06,-0.0008584490201794992,0.029923880472779274,0.9778510574251413,0.03255595227150479,0.05446263775229454,0.1,0.0016690132619987708,0.0016345067,15340,,
37289,769,159,0.8654916,5.0,5959750,-31.317535076141358,1e-06,-0.0014084345007937004,0.02400757186114788,0.9782338459044695,0.03785238104406744,0.054462775588035583,0.1,0.0016609819582663477,0.0014338007,15360,,
37356,770,159,0.8625235300000001,5.0,5967500,-31.317485694885253,1e-06,-0.0015242434893066629,0.025448303669691086,0.9783789254724979,0.0320702381405863,0.05446280911564827,0.1,0.0016132392339932267,0.001311983,15380,0.8687976980508494,5.0
37402,771,159,0.86457587,5.0,5975250,-31.31762120246887,1e-06,-0.0014553888827333284,0.02591748908162117,0.9783059824258089,0.039051190526224674,0.05446203052997589,0.1,0.001723941451346036,0.0014687234,15400,,
37448,772,159,0.8659652599999998,5.0,5983000,-31.318137373924255,1e-06,-0.0018874647731951732,0.022957390174269676,0.9789387378841639,0.04001190486422274,0.054460134357213974,0.1,0.0016586558573180809,0.0014553393,15420,,
37494,773,159,0.8671865,5.0,5990750,-31.31885095119476,1e-06,-0.0007897678620450233,0.03277042880654335,0.9779605064541101,0.03922500002779998,0.05445844307541847,0.1,0.001793150914600119,0.0012001281,15440,,
37540,774,159,0.8655207999999999,5.0,5998500,-31.319357471466063,1e-06,-0.0031135138604251543,0.029410745948553085,0.9785313457250595,0.04568690478248755,0.05445748567581177,0.1,0.0015920764763723127,0.0015245917,15460,,
37585,775,159,0.86345415,5.0,6006250,-31.319653630256653,1e-06,-0.0008557894039363412,0.03000469319522381,0.9790624212473631,0.02753214284632122,0.05445680394768715,0.1,0.0016220939726918004,0.0014883152,15480,,
37631,776,159,0.8663863900000002,5.0,6014000,-31.319791159629823,1e-06,-0.0002989103307065477,0.0277048721909523,0.9784271847456694,0.025861904837947803,0.05445694923400879,0.1,0.0017115532376919874,0.0013408782,15500,,
37676,777,159,0.8617287000000001,5.0,6021750,-31.31960897922516,1e-06,-0.0014149083610073543,0.031906042248010635,0.979355251416564,0.030523809465230443,0.05445769429206848,0.1,0.0014938375672500115,0.0014073034,15520,,
37722,778,159,0.8650171799999999,5.0,6029500,-31.31954261779785,1e-06,-0.0024665992367952417,0.0260988287627697,0.9791578035801649,0.03345952397037763,0.05445730313658714,0.1,0.0015692507718631532,0.0014726603,15540,,
37768,779,159,0.8623752499999999,5.0,6037250,-31.319741225242616,1e-06,-0.0006316457509579188,0.02602202817797661,0.979288237169385,0.030288095189025626,0.05445663258433342,0.1,0.0017549940649769268,0.001483823,15560,,
37833,780,159,0.86507266,5.0,6045000,-31.320068130493166,1e-06,-0.0016491808654196128,0.02608850784599781,0.9792627170681953,0.03070238089596387,0.05445556342601776,0.1,0.00173773882095702,0.0015318658,15580,0.870072883034948,5.0
37880,781,159,0.8619619999999999,5.0,6052750,-31.320278611183166,1e-06,-0.001537286802560356,0.029333939775824547,0.9790428355336189,0.03398809534119209,0.054455626755952835,0.1,0.0016157139133429156,0.001338143,15600,,
37926,782,159,0.8634437100000001,5.0,6060500,-31.32066092967987,1e-06,-0.001275977523288816,0.02950778417289257,0.9795812517404556,0.03885714287491283,0.05445336923003197,0.1,0.0015507748027448543,0.0015780779,15620,,
37973,783,159,0.86297932,5.0,6068250,-31.321153545379637,1e-06,-0.0023952392875774796,0.021423162892460823,0.9802063703536987,0.05296428594097961,0.054453350603580475,0.1,0.0015253081718401519,0.0015601604,15640,,
38018,784,159,0.8659810199999999,5.0,6076000,-31.321178245544434,1e-06,-0.00043413177168371675,0.03046278841793537,0.979046281427145,0.03514880948991049,0.054453130811452866,0.1,0.0016862286310060882,0.001439546,15660,,
38064,785,159,0.86695613,5.0,6083750,-31.32152647972107,1e-06,-0.0008398109770919326,0.025974713265895844,0.9787167385220528,0.04084761912585236,0.05445143207907677,0.1,0.0016582382735214195,0.0015061909,15680,,
38110,786,159,0.86662064,5.0,6091500,-31.32174942493439,1e-06,-0.0008328502846296359,0.028127124533057213,0.979206770658493,0.050108333480893635,0.05445219948887825,0.1,0.0015379650036629756,0.0018019287,15700,,
38156,787,159,0.86579951,5.0,6099250,-31.32177445411682,1e-06,-0.0006644873322107281,0.02821631357073784,0.980212977156043,0.03792857156950049,0.05445109307765961,0.1,0.0014617073262343182,0.0015113216,15720,,
38202,788,159,0.86427463,5.0,6107000,-31.3221071434021,1e-06,-0.0010628907834249269,0.02781851403415203,0.979903619736433,0.057000000225380064,0.054450616240501404,0.1,0.0014633528828562703,0.0020837295,15740,,
38248,789,159,0.8654563900000001,5.0,6114750,-31.322297372817992,1e-06,-0.0027784582712044336,0.028169909492135048,0.9789204020053148,0.02901904757891316,0.054450105875730515,0.1,0.0015286486831610092,0.0012679859,15760,,
38314,790,159,0.8661625100000001,5.0,6122500,-31.322739367485045,1e-06,-0.0010460340470764117,0.026245994493365288,0.9788875859230757,0.04119404771307018,0.05444822087883949,0.1,0.0016566537413746118,0.0014190851,15780,0.8689372583550992,5.0
38362,791,159,0.8654540000000003,5.0,6130250,-31.323422298431396,1e-06,-0.0007845444355860298,0.02679995633661747,0.9802420865744352,0.03172142865252681,0.05444660037755966,0.1,0.0014586931563098915,0.0016197918,15800,,
38407,792,159,0.86368521,5.0,6138000,-31.32394382953644,1e-06,-0.0016590459882375353,0.026128796860575676,0.980557344853878,0.04138928571133874,0.054445501416921616,0.1,0.0015018541480822023,0.001591399,15820,,
38453,793,159,0.8676049800000003,5.0,6145750,-31.324367485046388,1e-06,-0.002735027508857577,0.024431243538856506,0.9793925452977419,0.032427381017187146,0.05444442853331566,0.1,0.00157111579523189,0.0013720656,15840,,
38498,794,159,0.86538248,5.0,6153500,-31.324628615379332,1e-06,-0.0016519049013535736,0.0281450804322958,0.9793131574988365,0.03669880965753691,0.054444216191768646,0.1,0.0015343761976691894,0.0015576615,15860,,
38544,795,159,0.8663975500000001,5.0,6161250,-31.32488160133362,1e-06,-0.0012295788862856226,0.027218786999583244,0.9793232511729002,0.03725476208986947,0.05444306507706642,0.1,0.001502930331917014,0.0016554499,15880,,
38590,796,159,0.8656302300000002,5.0,6169000,-31.32507981300354,1e-06,-0.0016193421928238738,0.030629580840468407,0.9795581568032503,0.04739642860542517,0.054443273693323135,0.1,0.0016694975463906303,0.001579788,15900,,
38636,797,159,0.8668183400000001,5.0,6176750,-31.325073575973512,1e-06,-0.0014716552150034522,0.028279725462198257,0.9797340724617243,0.030101190425921232,0.05444306507706642,0.1,0.001591463342483621,0.0014589775,15920,,
38682,798,159,0.86387246,5.0,6184500,-31.32522521495819,1e-06,-0.0018035818476754163,0.02502863109111786,0.9789987057447433,0.03813928570772987,0.05444241687655449,0.1,0.0015781815277296119,0.0015593267,15940,,
