time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
251,3340750,581,5.0,0.82228789,13278,0.00850000001761752,0.0011473332,5e-06,0.9637591652572155,0.18132735788822174,-6.058918265501658,-0.00039491639472544193,11600,0.1,0.0030058346843967834,-0.0005970896855272005,,
251,3346500,582,5.0,0.82298144,13299,0.01261111109957306,0.0013033136,5e-06,0.964567992836237,0.1813250482082367,-6.05911128256056,0.0028831546660512686,11620,0.1,0.0024980910989041956,-0.0010903109012818757,,
251,3352250,583,5.0,0.8260522499999999,13319,0.010277777766653647,0.0015924433,5e-06,0.9639148078858852,0.18132293224334717,-6.059356395403544,-0.0008291207486763597,11640,0.1,0.002882802476071649,-0.0012094420281465112,,
251,3358000,584,5.0,0.8193467200000001,13339,0.005333333322778344,0.0012321441,5e-06,0.96517089381814,0.18131960928440094,-6.059647003809611,0.003906763158738613,11660,0.1,0.002763930867270877,-0.00045025954483250236,,
251,3363750,585,5.0,0.8213382199999999,13360,0.006893333342547218,0.001112505,5e-06,0.9655815921723843,0.18131136894226074,-6.060318641662597,-0.00353281875140965,11680,0.1,0.0028513326992591222,-0.0007583341634364279,,
251,3369500,586,5.0,0.8217690499999999,13380,0.011022222190836652,0.0013127113,5e-06,0.9640154503285885,0.1813056915998459,-6.061178414026896,0.002699262695387006,11700,0.1,0.002834890046182813,-0.00045724407214148895,,
251,3375250,587,5.0,0.8241325800000001,13401,0.00888888894373344,0.0014700635,5e-06,0.9659625664353371,0.18130727112293243,-6.061443657345242,0.0040611037984490395,11720,0.1,0.0025716752072589264,-0.001164651798991656,,
251,3381000,588,5.0,0.8218806800000001,13421,0.006483333371579647,0.0010990602,5e-06,0.9636188484728336,0.1813071221113205,-6.061291428407033,0.004287349991500378,11740,0.1,0.0028242616584369293,-0.0002869464724579126,,
251,3386750,589,5.0,0.8246421100000001,13441,0.008359999971774718,0.0009741906,5e-06,0.9638615176081657,0.18130084872245789,-6.061620066960653,0.005782787222415209,11760,0.1,0.003034863016412904,-0.0005489011691795387,,
251,3392500,590,5.0,0.8248393199999999,13483,0.015322222219159206,0.0013100429,5e-06,0.9607757776975632,0.18130017817020416,-6.0621439165539215,0.0017570416675880551,11780,0.1,0.003256987711776876,-0.0015703500164793334,0.8452217201842603,5.0
251,3398250,591,5.0,0.82458827,13503,0.007833333253317202,0.0014808131,5e-06,0.9656383097171783,0.1812976598739624,-6.062248333295186,0.007545809261500835,11800,0.1,0.002880177859333344,-5.665357194137854e-05,,
251,3404000,592,5.0,0.8212950399999999,13523,0.013319999969874818,0.0017185941,5e-06,0.964385624974966,0.18128980696201324,-6.06280839284261,-0.0014472415205091238,11820,0.1,0.002930274416382114,-0.0012430641554148517,,
251,3409750,593,5.0,0.8203782000000001,13543,0.007893333312434454,0.0011340919,5e-06,0.9652928709983826,0.1812961995601654,-6.063087110519409,0.0050322068855166435,11840,0.1,0.0028419184506249923,-4.197272871358256e-05,,
251,3415500,594,5.0,0.8226222900000002,13564,0.008616666594753042,0.0012337834,5e-06,0.9666425958275795,0.18129603564739227,-6.062516152858734,0.0007282942533493042,11860,0.1,0.0025614838998687145,0.0002291636509763828,,
251,3421250,595,5.0,0.82121761,13584,0.01022666663552324,0.0013323462,5e-06,0.9626614712178707,0.18129467964172363,-6.06267609278361,0.005405898671597242,11880,0.1,0.00276029579496632,-0.0013312495476965342,,
251,3427000,596,5.0,0.8226347900000001,13604,0.012120000024636587,0.0014584403,5e-06,0.9615742936730385,0.18128927052021027,-6.063030395507813,0.003837951458990574,11900,0.1,0.0030753239197656513,-0.0013604375823098236,,
251,3432750,597,5.0,0.8212640300000001,13624,0.009826666677060227,0.0013317942,5e-06,0.964443426579237,0.18128901720046997,-6.063438898722331,0.0015306724235415459,11920,0.1,0.0025311403380086023,-0.00014933406814251113,,
252,3438500,598,5.0,0.82260489,13644,0.014079999933019281,0.0018913412,5e-06,0.9662232883274555,0.18128980696201324,-6.0633661142985025,0.0020783913787454367,11940,0.1,0.0026905175942617157,0.0007240097498865694,,
252,3444250,599,5.0,0.8222934800000001,13664,0.018799999935242038,0.0013533909,5e-06,0.9668303318321705,0.18129032850265503,-6.063277390797933,0.007927757687866688,11960,0.1,0.00283093768870458,-0.0007429033081928912,,
251,3450000,600,5.0,0.8226525400000001,13705,0.006314285756975767,0.0010596225,5e-06,0.9642186053097248,0.1812865138053894,-6.063418822061448,0.0044019389897584915,11980,0.1,0.0027525170362510142,-0.00038599488340661144,0.8443266083997885,5.0
251,3455750,601,5.0,0.8232417200000001,13725,0.0074000000084439915,0.0013721023,5e-06,0.9619960486888885,0.18128053843975067,-6.064024470647176,0.00039446004666388035,12000,0.1,0.002857963085795442,-0.0009459638896441014,,
251,3461500,602,5.0,0.82300277,13745,0.009449999921101456,0.001461002,5e-06,0.9652223400771618,0.18127766251564026,-6.064588348070781,-0.005564688239246607,12020,0.1,0.002722836574927593,-0.0010232429739677306,,
251,3467250,603,5.0,0.82221489,13765,0.008111111096675611,0.0014360155,5e-06,0.9641559757292271,0.18126848340034485,-6.065226695272657,8.417846402153373e-06,12040,0.1,0.0026886997149429387,-0.0015599658623099632,,
251,3473000,604,5.0,0.82019699,13786,0.011644444469776418,0.0017049363,5e-06,0.9630148559808731,0.1812637746334076,-6.066094390551249,-0.003000993514433503,12060,0.1,0.002856134502346524,0.00018358855506708238,,
251,3478750,605,5.0,0.8250530699999998,13806,0.012488888738314725,0.0012878726,5e-06,0.9651780314743519,0.18125611543655396,-6.066733037100898,-0.0012335695791989565,12080,0.1,0.0027991815069172946,-0.00044766618211619955,,
251,3484500,606,5.0,0.8181459199999997,13827,0.011479999994238217,0.0014495909,5e-06,0.9649522937834263,0.18125604093074799,-6.067282587687174,-0.0030334405601024628,12100,0.1,0.0027768907657203575,-0.00011331358798252941,,
252,3490250,607,5.0,0.82422943,13847,0.0071000000138560105,0.0013242991,5e-06,0.9633373953402042,0.18125393986701965,-6.067324542999268,0.0034268188755959272,12120,0.1,0.002837964365284683,-0.00012993352370666136,,
252,3496000,608,5.0,0.8248489199999998,13868,0.008479999986787638,0.0013650738,5e-06,0.9657774195075035,0.18125416338443756,-6.067441132863363,0.002756213303655386,12140,0.1,0.0026619962928816675,-0.002402941213379949,,
252,3501750,609,5.0,0.8242243,13888,0.005183333331175769,0.0013228,5e-06,0.9676220864057541,0.1812494695186615,-6.0676904082298275,-0.0006780051626265049,12160,0.1,0.002575796788247923,-0.000698688701023394,,
251,3507500,610,5.0,0.8215509999999999,13928,0.021453333152458072,0.0016933648,5e-06,0.965070117264986,0.18124456703662872,-6.068288815816244,3.421062137931585e-05,12180,0.1,0.0027577113212707144,0.00010184960066717134,0.8454508598368903,5.0
251,3513250,611,5.0,0.8188711100000002,13948,0.013093333391783138,0.0014482425,5e-06,0.9649142771959305,0.18124204874038696,-6.068712027867635,-0.009144717827439308,12200,0.1,0.0025762683929254613,0.0006574224018865493,,
251,3519000,612,5.0,0.82470044,13968,0.016879999896821877,0.0014204951,5e-06,0.9644870199263096,0.1812371164560318,-6.069117202758789,-0.0018420388223603368,12220,0.1,0.0030225931325306497,0.00017859764208245346,,
251,3524750,613,5.0,0.8221817600000001,13989,0.011285714288463904,0.001322438,5e-06,0.964055735617876,0.18122972548007965,-6.0698347137087865,0.004229579120874405,12240,0.1,0.002757851324886793,-0.001250696946565197,,
252,3530500,614,5.0,0.8233518000000001,14009,0.008850000034241627,0.0010132376,5e-06,0.9642980769276619,0.18122918903827667,-6.070337617397309,0.003614687593653798,12260,0.1,0.0027284573103922107,-7.807760378665262e-05,,
252,3536250,615,5.0,0.82030498,14030,0.012960000033490359,0.0013935055,5e-06,0.9623139351606369,0.1812267303466797,-6.070455306371053,-0.00549485394731164,12280,0.1,0.003341334518045187,-0.0002790139789934483,,
252,3542000,616,5.0,0.8223802600000001,14051,0.013722222101771169,0.0015778532,5e-06,0.9632504656910896,0.18122057616710663,-6.070991449885899,0.004353309515863657,12300,0.1,0.00301892762654461,-0.0005380694724344832,,
252,3547750,617,5.0,0.82091534,14071,0.007933333318990966,0.0012467232,5e-06,0.958433922380209,0.1812172383069992,-6.071543483734131,-0.0010704956948757172,12320,0.1,0.0031993390868107477,5.9815238970972e-05,,
252,3553500,618,5.0,0.82096512,14091,0.011933333254677967,0.0012135402,5e-06,0.9628405384719372,0.18121349811553955,-6.071948390536838,-0.0017775746528059244,12340,0.1,0.0033573168834360938,-0.00015414170395063013,,
252,3559250,619,5.0,0.8186974900000001,14112,0.01316666659873186,0.0015230734,5e-06,0.9629101008176804,0.1812049001455307,-6.072598520914713,-0.002489469014108181,12360,0.1,0.0028976699220947923,-0.00152731215647585,,
251,3565000,620,5.0,0.8212677799999999,14152,0.008533333261342098,0.0011383282,5e-06,0.9592934213578701,0.1811983436346054,-6.073541254467434,0.002188742160797119,12380,0.1,0.00317535995078894,-0.0003034859573864179,0.8444766644779972,5.0
251,3570750,621,5.0,0.8205581400000002,14172,0.004960000033800801,0.0012399987,5e-06,0.9628634303808212,0.1811966449022293,-6.0740375900268555,0.0027034077793359756,12400,0.1,0.0028318135952576993,-0.0011360075512353578,,
251,3576500,622,5.0,0.82114705,14193,0.011733333313216765,0.001717331,5e-06,0.9635547176003456,0.18119731545448303,-6.074104159673055,-0.0069655003026127815,12420,0.1,0.002865662877447903,-0.0006721363804517466,,
252,3582250,623,5.0,0.82362431,14214,0.005283333403834452,0.0012427919,5e-06,0.9621193073689938,0.18119564652442932,-6.074092113971711,0.0016368268989026546,12440,0.1,0.002672431846925368,-0.000465378186422886,,
252,3588000,624,5.0,0.8211168100000001,14234,0.008306666710413992,0.0012925392,5e-06,0.9635682441294193,0.1811937689781189,-6.074353020985921,0.005436541512608528,12460,0.1,0.0027469244451882938,-0.00046754244943115824,,
252,3593750,625,5.0,0.8221851,14255,0.007426666667064031,0.0011933865,5e-06,0.9638507328927517,0.18119239807128906,-6.074544693628947,0.006600749678909779,12480,0.1,0.0028637718269601464,-0.0009584403847803458,,
